date,time,p_w
239,22,85.1
239,23,85.1
239,24,85.1
239,25,137.4
239,26,137.4
239,27,137.4
239,28,137.4
239,29,145.4
239,30,145.4
239,31,145.4
239,32,145.4
239,33,418.9
239,34,418.9
239,35,418.9
239,36,418.9
239,37,620.4
239,38,620.4
239,39,620.4
239,40,620.4
239,41,748.1
239,42,748.1
239,43,748.1
239,44,748.1
239,45,5544.1
239,46,5544.1
239,47,5544.1
239,48,5544.1
239,49,4056.5
239,50,4056.5
239,51,4056.5
239,52,4056.5
239,53,4097.6
239,54,4097.6
239,55,4097.6
239,56,4097.6
239,57,3702.7
239,58,3702.7
239,59,3702.7
239,60,3702.7
239,61,1235.9
239,62,1235.9
239,63,1235.9
239,64,1235.9
239,65,941.2
239,66,941.2
239,67,941.2
239,68,941.2
239,69,446.5
239,70,446.5
239,71,446.5
239,72,446.5
239,73,0.0
239,74,0.0
239,75,0.0
239,76,0.0
239,77,0.0
239,78,0.0
239,79,0.0
239,80,0.0
239,81,0.0
239,82,0.0
239,83,0.0
239,84,0.0
239,85,0.0
239,86,0.0
239,87,0.0
239,88,0.0
239,89,0.0
239,90,0.0
239,91,0.0
239,92,0.0
239,93,0.0
239,94,0.0
239,95,0.0
239,96,0.0
240,1,0.0
240,2,0.0
240,3,0.0
240,4,0.0
240,5,0.0
240,6,0.0
240,7,0.0
240,8,0.0
240,9,0.0
240,10,0.0
240,11,0.0
240,12,0.0
240,13,0.0
240,14,0.0
240,15,0.0
240,16,0.0
240,17,0.0
240,18,0.0
240,19,0.0
240,20,0.0
240,21,25.7
240,22,25.7
240,23,25.7
240,24,25.7
240,25,302.8
240,26,302.8
240,27,302.8
240,28,302.8
240,29,766.1
240,30,766.1
240,31,766.1
240,32,766.1
240,33,542.1
240,34,542.1
240,35,542.1
240,36,542.1
240,37,802.9
240,38,802.9
240,39,802.9
240,40,802.9
240,41,794.2
240,42,794.2
240,43,794.2
240,44,794.2
240,45,492.9
240,46,492.9
240,47,492.9
240,48,492.9
240,49,568.1
240,50,568.1
240,51,568.1
240,52,568.1
240,53,439.4
240,54,439.4
240,55,439.4
240,56,439.4
240,57,657.3
240,58,657.3
240,59,657.3
240,60,657.3
240,61,1038.6
240,62,1038.6
240,63,1038.6
240,64,1038.6
240,65,1008.3
240,66,1008.3
240,67,1008.3
240,68,1008.3
240,69,456.8
240,70,456.8
240,71,456.8
240,72,456.8
240,73,0.0
240,74,0.0
240,75,0.0
240,76,0.0
240,77,0.0
240,78,0.0
240,79,0.0
240,80,0.0
240,81,0.0
240,82,0.0
240,83,0.0
240,84,0.0
240,85,0.0
240,86,0.0
240,87,0.0
240,88,0.0
240,89,0.0
240,90,0.0
240,91,0.0
240,92,0.0
240,93,0.0
240,94,0.0
240,95,0.0
240,96,0.0
241,1,0.0
241,2,0.0
241,3,0.0
241,4,0.0
241,5,0.0
241,6,0.0
241,7,0.0
241,8,0.0
241,9,0.0
241,10,0.0
241,11,0.0
241,12,0.0
241,13,0.0
241,14,0.0
241,15,0.0
241,16,0.0
241,17,0.0
241,18,0.0
241,19,0.0
241,20,0.0
241,21,22.0
241,22,22.0
241,23,22.0
241,24,22.0
241,25,954.5
241,26,954.5
241,27,954.5
241,28,954.5
241,29,2622.5
241,30,2622.5
241,31,2622.5
241,32,2622.5
241,33,4732.0
241,34,4732.0
241,35,4732.0
241,36,4732.0
241,37,3186.1
241,38,3186.1
241,39,3186.1
241,40,3186.1
241,41,2271.7
241,42,2271.7
241,43,2271.7
241,44,2271.7
241,45,4892.2
241,46,4892.2
241,47,4892.2
241,48,4892.2
241,49,2174.4
241,50,2174.4
241,51,2174.4
241,52,2174.4
241,53,2757.9
241,54,2757.9
241,55,2757.9
241,56,2757.9
241,57,400.7
241,58,400.7
241,59,400.7
241,60,400.7
241,61,3020.3
241,62,3020.3
241,63,3020.3
241,64,3020.3
241,65,1643.5
241,66,1643.5
241,67,1643.5
241,68,1643.5
241,69,389.3
241,70,389.3
241,71,389.3
241,72,389.3
241,73,0.0
241,74,0.0
241,75,0.0
241,76,0.0
241,77,0.0
241,78,0.0
241,79,0.0
241,80,0.0
241,81,0.0
241,82,0.0
241,83,0.0
241,84,0.0
241,85,0.0
241,86,0.0
241,87,0.0
241,88,0.0
241,89,0.0
241,90,0.0
241,91,0.0
241,92,0.0
241,93,0.0
241,94,0.0
241,95,0.0
241,96,0.0
242,1,0.0
242,2,0.0
242,3,0.0
242,4,0.0
242,5,0.0
242,6,0.0
242,7,0.0
242,8,0.0
242,9,0.0
242,10,0.0
242,11,0.0
242,12,0.0
242,13,0.0
242,14,0.0
242,15,0.0
242,16,0.0
242,17,0.0
242,18,0.0
242,19,0.0
242,20,0.0
242,21,85.3
242,22,85.3
242,23,85.3
242,24,85.3
242,25,837.8
242,26,837.8
242,27,837.8
